Player Total \ Dealer,1,2,3,4,5,6,7,8,9,10
4,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
5,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
6,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
7,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
8,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
9,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
10,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
11,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
12,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
13,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
14,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
15,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
16,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
17,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
18,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
19,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
20,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
21,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
