Player Sum \ Dealer Card,1,2,3,4,5,6,7,8,9,10
4,hit,hit,stand,stand,hit,stand,hit,hit,stand,stand
5,hit,stand,stand,stand,stand,stand,hit,hit,stand,hit
6,stand,hit,hit,stand,hit,stand,stand,stand,hit,stand
7,hit,stand,stand,stand,hit,hit,stand,stand,hit,hit
8,stand,stand,hit,hit,stand,stand,stand,hit,hit,hit
9,stand,stand,stand,hit,hit,stand,hit,stand,hit,hit
10,stand,stand,hit,hit,stand,hit,hit,hit,stand,hit
11,stand,hit,hit,hit,stand,stand,hit,hit,stand,hit
12,hit,hit,hit,stand,hit,hit,hit,hit,hit,hit
13,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
14,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
15,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
16,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
17,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
18,hit,stand,stand,stand,hit,stand,stand,stand,hit,stand
19,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
20,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
21,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
